GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
first-project,default,LoadInfo,6,98,0,4,4,23,0,7,0,5
first-project,default,Server.ClientHandler,73,0,2,0,19,0,4,0,3,0
first-project,default,Server,52,72,0,0,14,19,2,7,2,7
first-project,default,ConfigFile,0,39,0,0,0,11,0,2,0,2
first-project,default,ClientWindow,196,0,2,0,52,0,11,0,10,0
first-project,default,ServerInfo,0,15,0,0,0,6,0,3,0,3
first-project,default,ImageTransformer,18,288,0,16,7,52,1,15,1,7
first-project,default,Request,0,40,0,0,0,15,0,8,0,8
first-project,default,Response,0,40,0,0,0,15,0,8,0,8
first-project,default,ImageProcessor,340,0,20,0,89,0,19,0,9,0
first-project,default,SIMDExecutor,44,106,4,4,13,20,4,8,2,6
first-project,default,ImagePart,3,28,0,0,1,11,1,5,1,5
first-project,default,ImageProducer,3,96,1,11,2,19,1,8,0,3
first-project,default,Client,12,201,5,5,5,51,5,7,0,7
first-project,default,ImageReader,3,14,0,0,1,6,1,1,1,1
first-project,default,Main,269,0,6,0,57,0,9,0,6,0
first-project,default,ImageConsumerTask,125,0,8,0,34,0,7,0,3,0
